match_key,tour,tournament,year,player,milestone,sim_prob,actual_reached,logged_at
ATP|US Open|2021,ATP,US Open,2021,Karlovic I.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Karlovic I.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Martinez P.,semifinal,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Martinez P.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Martinez P.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Duckworth J.,semifinal,0.009,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Duckworth J.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Duckworth J.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Tiafoe F.,semifinal,0.033,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Tiafoe F.,final,0.009,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Tiafoe F.,champion,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Eubanks C.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Eubanks C.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Eubanks C.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pella G.,semifinal,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pella G.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pella G.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Krajinovic F.,semifinal,0.028,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Krajinovic F.,final,0.012,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Krajinovic F.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Bautista Agut R.,semifinal,0.069,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Bautista Agut R.,final,0.024,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Bautista Agut R.,champion,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kyrgios N.,semifinal,0.031,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kyrgios N.,final,0.013,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kyrgios N.,champion,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Majchrzak K.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Majchrzak K.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Majchrzak K.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Ruusuvuori E.,semifinal,0.023,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Ruusuvuori E.,final,0.011,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Ruusuvuori E.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Lopez F.,semifinal,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Lopez F.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Lopez F.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Zapata Miralles B.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Zapata Miralles B.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
