tour,round,date,bet_on,opponent,model_prob,market_prob,ev_per_unit,edge_pp,decimal_odds,real_decimal_odds,won,player_hard_matches,opponent_hard_matches,min_hard_matches,event,filtered
WTA,2nd Round,2026-09-03,Siniakova K.,Osaka N.,0.28619341024847467,0.23791102514506768,0.20294303332082442,4.828238510340698,4.203252032520326,4.2,False,120,81,81,US Open,False
WTA,3rd Round,2026-09-04,Noskova L.,Li A.,0.7781433787486836,0.7366255144032922,0.05636224042419058,4.15178643453914,1.3575418994413408,1.3,True,116,101,101,US Open,False
WTA,3rd Round,2026-09-04,Muchova K.,Navarro E.,0.7967009267451248,0.7759259259259259,0.026774464062929493,2.077500081919892,1.288782816229117,1.22,False,110,107,107,US Open,False
WTA,3rd Round,2026-09-04,Townsend T.,Shnaider D.,0.4274836036550423,0.4030612244897959,0.06059223185301632,2.4422379165246366,2.481012658227848,2.42,True,67,108,67,US Open,False
WTA,3rd Round,2026-09-04,Pegula J.,Fernandez L.,0.9321028051205358,0.8219814241486069,0.1339706442709343,11.012138097192892,1.2165725047080977,1.17,True,219,1,1,US Open,False
WTA,3rd Round,2026-09-04,Kostyuk M.,Alexandrova E.,0.7672848502759121,0.7439516129032256,0.031363917986050094,2.3333237372686444,1.3441734417344176,1.3,True,152,162,152,US Open,False
WTA,3rd Round,2026-09-04,Sabalenka A.,Rakhimova K.,0.9739778559052845,0.9159256265157639,0.06338094241380143,5.80522293895206,1.091791703442189,1.05,True,213,74,74,US Open,False
WTA,2nd Round,2026-09-04,Rybakina E.,Bouzas Maneiro J.,0.9638303579877465,0.8116883116883117,0.18743900104090372,15.214204629943485,1.232,1.18,True,194,57,57,US Open,True
WTA,2nd Round,2026-09-04,Badosa P.,Gauff C.,0.2106603932372605,0.16096866096866097,0.30870438984563586,4.969173226859952,6.212389380530974,6.25,False,113,197,113,US Open,False
WTA,2nd Round,2026-09-04,Jones F.,Jovic I.,0.22996133556587472,0.16165951359084407,0.42250419080129586,6.830182197503065,6.185840707964601,6.0,False,12,47,12,US Open,False
WTA,3rd Round,2026-09-04,Paolini J.,Cirstea S.,0.4185120938602691,0.3964646464646465,0.055610122093417536,2.204744739562259,2.5222929936305727,2.5,False,153,144,144,US Open,False
WTA,3rd Round,2026-09-05,Kalinskaya A.,Svitolina E.,0.33707297204451214,0.2885032537960954,0.16835067753774524,4.856971824841672,3.466165413533835,3.5,True,131,109,109,US Open,False
WTA,3rd Round,2026-09-05,Zheng Q.,Keys M.,0.46972728360501304,0.39795918367346944,0.18034035367413526,7.176809993154359,2.5128205128205123,2.4,True,126,129,126,US Open,False
WTA,3rd Round,2026-09-05,Potapova A.,Anisimova A.,0.2795322443150116,0.18081761006289307,0.5459348468204122,9.871463425211854,5.530434782608696,5.5,True,134,113,113,US Open,False
WTA,3rd Round,2026-09-05,Bartunkova N.,Andreeva M.,0.26415906672526945,0.22040072859744989,0.19853989778655334,4.3758338127819565,4.537190082644629,4.5,False,27,93,27,US Open,False
WTA,3rd Round,2026-09-05,Bouzkova M.,Swiatek I.,0.20533224218661728,0.17592592592592593,0.16715169242919292,2.9406316260691345,5.684210526315789,5.5,False,142,203,142,US Open,False
WTA,3rd Round,2026-09-05,Bucsa C.,Gauff C.,0.09582009987154128,0.08462164361269327,0.13233560328965566,1.1198456258848009,11.81730769230769,13.0,False,91,197,91,US Open,False
WTA,4th Round,2026-09-06,Kostyuk M.,Noskova L.,0.577899523751193,0.5688311688311688,0.015942085133376027,0.9068354920024224,1.7579908675799087,1.7,False,152,116,116,US Open,False
WTA,3rd Round,2026-09-06,Rybakina E.,Starodubtseva Y.,0.950996890610197,0.8650990099009901,0.09929254308017055,8.58978807092069,1.155937052932761,1.1,True,194,35,35,US Open,False
WTA,4th Round,2026-09-06,Sabalenka A.,Townsend T.,0.8699162153885965,0.8040201005025126,0.0819582928895668,6.589611488608393,1.24375,1.2,True,213,67,67,US Open,False
WTA,3rd Round,2026-09-06,Mertens E.,Osaka N.,0.34423647061259044,0.27718550106609813,0.24189926705619147,6.705096954649231,3.607692307692307,3.6,False,161,81,81,US Open,False
WTA,3rd Round,2026-09-06,Eala A.,Jovic I.,0.5421272894537768,0.46825396825396826,0.1577633639182352,7.387332119980849,2.135593220338983,2.1,False,51,47,47,US Open,False
WTA,4th Round,2026-09-07,Pegula J.,Cirstea S.,0.73796635158974,0.7173447537473233,0.028747122962413663,2.0621597842416683,1.3940298507462687,1.33,True,219,144,144,US Open,False
WTA,4th Round,2026-09-07,Kalinskaya A.,Navarro E.,0.6265674876792028,0.5105820105820106,0.2271632660245526,11.59854770971922,1.9585492227979275,2.1,False,131,107,107,US Open,True
WTA,4th Round,2026-09-07,Potapova A.,Andreeva M.,0.326317419595215,0.1711711711711712,0.9063807144773084,15.514624842404379,5.842105263157894,6.5,False,134,93,93,US Open,True
WTA,4th Round,2026-09-07,Zheng Q.,Swiatek I.,0.2565428818413236,0.20521739130434782,0.2501030259217041,5.13254905369758,4.872881355932203,5.0,True,126,203,126,US Open,False
WTA,4th Round,2026-09-07,Rybakina E.,Osaka N.,0.7619677973660435,0.5625,0.3546094175396328,19.94677973660435,1.7777777777777777,1.73,True,194,81,81,US Open,True
WTA,4th Round,2026-09-08,Gauff C.,Jovic I.,0.7928308897036533,0.7228144989339019,0.0968663341327829,7.001639076975142,1.3834808259587021,1.33,True,197,47,47,US Open,False
WTA,Quarterfinals,2026-09-08,Sabalenka A.,Noskova L.,0.7795218421475516,0.7155172413793104,0.08945221312187934,6.400460076824121,1.397590361445783,1.34,True,213,116,116,US Open,False
WTA,Quarterfinals,2026-09-09,Pegula J.,Navarro E.,0.8306626518213573,0.7592233009708738,0.09409530866495919,7.1439350850483585,1.317135549872123,1.25,True,219,107,107,US Open,False
WTA,Quarterfinals,2026-09-09,Rybakina E.,Zheng Q.,0.8427153147814596,0.7284210526315789,0.15690686277801547,11.42942621498807,1.3728323699421967,1.33,True,194,126,126,US Open,True
