player,hard_elo,clay_elo,grass_elo,hard_elo_undamped,clay_elo_undamped,grass_elo_undamped,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Liu C.,1436.5450567542855,1489.5513360655734,1478.7263672579406,1436.5450567542855,1489.5513360655734,1478.7263672579406,1472.2947041923735,62,29,12,111,19,0.028549631601290204
Urgesi F.,1472.127650434902,1471.0420332852061,1472.127650434902,1472.127650434902,1471.0420332852061,1472.127650434902,1472.127650434902,0,2,0,410,88,
Nahimana S.,1471.3996714548862,1472.0314477639722,1471.3996714548862,1471.3996714548862,1472.0314477639722,1471.3996714548862,1471.3996714548862,0,6,0,231,74,
Cepede Royg V.,1478.6781704159548,1490.807331570996,1483.014585588911,1478.6781704159548,1490.807331570996,1483.014585588911,1471.3348946006831,30,27,9,126,2925,-0.2644047482170264
Mansouri Y.,1470.7048931471736,1471.1952230570303,1471.1952230570303,1470.7048931471736,1471.1952230570303,1471.1952230570303,1471.1952230570303,2,0,0,380,327,
Lottner A.,1477.4009376203758,1480.5627479934697,1486.4112502012863,1477.4009376203758,1480.5627479934697,1486.4112502012863,1470.968502959617,10,17,8,162,2344,0.02295173876998663
Topalova G.,1470.8343755363037,1471.1238334311688,1470.8343755363037,1470.8343755363037,1471.1238334311688,1470.8343755363037,1470.8343755363037,0,2,0,229,741,
Pigato L.,1470.794348508736,1468.613728074603,1470.794348508736,1470.794348508736,1468.613728074603,1470.794348508736,1470.794348508736,0,5,0,141,88,
Wang Q.,1491.7373758756912,1482.7774238773563,1466.8298904765438,1491.7373758756912,1482.7774238773563,1466.8298904765438,1470.659708179162,184,48,16,403,676,-0.19012827440505936
Kung L.,1489.065270288836,1468.0481098208165,1477.0339210768868,1489.065270288836,1468.0481098208165,1477.0339210768868,1470.4387301003767,8,6,2,206,487,-0.21558772225199258
Vandeweghe C.,1442.8744671235122,1503.0226337114666,1501.697272902861,1442.8744671235122,1503.0226337114666,1501.697272902861,1470.4034616840006,175,38,63,136,1248,-0.04784957898932457
Maristany G.,1471.8645975986158,1474.7405084766056,1470.2387118903873,1471.8645975986158,1474.7405084766056,1470.2387118903873,1470.2387118903873,1,3,0,178,122,
Hatouka Y.,1472.8390348523628,1476.368841914378,1472.6956307879482,1472.8390348523628,1476.368841914378,1472.6956307879482,1470.1162787375304,1,3,2,240,1102,
Pedone G.,1470.0747179095133,1469.715932819141,1470.0747179095133,1470.0747179095133,1469.715932819141,1470.0747179095133,1470.0747179095133,0,2,0,229,453,
Cadantu A.,1491.9597719249584,1477.2901890047528,1483.666640511905,1491.9597719249584,1477.2901890047528,1483.666640511905,1469.6939098119713,37,45,7,154,1469,-0.1076869825753029
Sharma A.,1419.645042011059,1515.9748386098538,1471.2481428541905,1419.3996367080497,1515.9748386098538,1471.2481428541905,1469.645042011059,28,41,4,148,377,0.13413603186911466
Falei A.,1469.113381887771,1469.599238903056,1469.599238903056,1469.113381887771,1469.599238903056,1469.599238903056,1469.599238903056,2,0,0,340,279,
Abduraimova N.,1483.6854159152113,1472.3652848936838,1469.5598447119999,1483.6854159152113,1472.3652848936838,1469.5598447119999,1469.5598447119999,21,3,0,181,1104,-0.15352643656107245
El Allami M.,1469.4313792755818,1469.583577437958,1469.4313792755818,1469.4313792755818,1469.583577437958,1469.4313792755818,1469.4313792755818,0,2,0,1143,803,
Vedder E.,1469.398147837667,1470.3982302712423,1471.28351965204,1469.398147837667,1470.3982302712423,1471.28351965204,1469.398147837667,0,2,1,249,382,
Soboleva A.,1470.7027566687666,1471.233687281806,1469.3304276891174,1470.7027566687666,1471.233687281806,1469.3304276891174,1469.3304276891174,1,1,0,231,741,
Ozaki R.,1476.4860086128263,1476.8965034767702,1479.524287767369,1476.4860086128263,1476.8965034767702,1479.524287767369,1469.0008138030742,48,3,5,292,2518,-0.20695695389855365
Perrin C.,1473.1811664234215,1475.7953544639827,1472.6420220133452,1473.1811664234215,1475.7953544639827,1472.6420220133452,1468.7676057988965,2,11,1,261,1846,-0.24326608382040413
Arconada U.M.,1473.4518169366925,1472.9816636020316,1468.75080766535,1473.4518169366925,1472.9816636020316,1468.75080766535,1468.75080766535,6,2,0,189,1759,
Betova M.,1470.4640563138107,1468.599527295861,1470.6154761757261,1470.4640563138107,1468.599527295861,1470.6154761757261,1468.599527295861,1,0,1,1022,1070,
Appleton E.,1468.5218688284306,1468.5218688284306,1469.2230665671968,1468.5218688284306,1468.5218688284306,1469.2230665671968,1468.5218688284306,0,0,2,356,783,
Errani S.,1457.0045475822203,1456.2815320777995,1459.3783054081582,1457.0045475822203,1456.2815320777995,1459.3783054081582,1468.4871704861912,326,284,40,177,452,-0.02551767391763976
Janicijevic S.,1470.6696389172637,1477.4336020613555,1468.4804453826016,1470.6696389172637,1477.4336020613555,1468.4804453826016,1468.4804453826016,1,9,0,245,125,-0.0691994830742989
Burrage J.,1458.9353599471553,1474.985186773283,1489.9669807322775,1458.9353599471553,1474.985186773283,1489.9669807322775,1468.2759217421972,20,3,22,154,397,-0.15458835940136212
Ormaechea P.,1486.6122281152498,1471.8025736228044,1477.1887729014447,1486.6122281152498,1471.8025736228044,1477.1887729014447,1468.1381313670386,18,39,3,183,1217,-0.21917334232860408
Back D.,1466.7539030757605,1468.121534211083,1468.121534211083,1466.7539030757605,1468.121534211083,1468.121534211083,1468.121534211083,5,0,0,306,319,
Steiner V.,1468.033683769077,1468.2004515589788,1468.033683769077,1468.033683769077,1468.2004515589788,1468.033683769077,1468.033683769077,0,2,0,544,12,
Wong C.,1467.3279696559778,1467.1617328205616,1467.1617328205616,1467.3279696559778,1467.1617328205616,1467.1617328205616,1467.1617328205616,2,0,0,412,642,
Maleckova J.,1469.519299678714,1470.5720889683828,1466.9894832491595,1469.519299678714,1470.5720889683828,1466.9894832491595,1466.9894832491595,1,3,0,589,377,
Matoula M.,1466.628778563218,1466.535043312357,1466.535043312357,1466.628778563218,1466.535043312357,1466.535043312357,1466.535043312357,2,0,0,301,20,
Toth A.,1466.206022879845,1466.3633681776487,1466.206022879845,1466.206022879845,1466.3633681776487,1466.206022879845,1466.206022879845,0,2,0,371,748,
Pattinama Kerkhove L.,1465.922315337963,1466.1601920207156,1475.8397201962257,1465.922315337963,1466.1601920207156,1475.8397201962257,1466.1601920207156,8,0,7,203,1146,-0.00532619487623337
Glushko L.,1468.751919612197,1468.8508752510602,1466.0440184259287,1468.751919612197,1468.8508752510602,1466.0440184259287,1466.0440184259287,4,1,0,389,327,
Gibbs N.,1472.410084504057,1481.484830530922,1475.1733520388054,1472.410084504057,1481.484830530922,1475.1733520388054,1465.934323934118,75,11,3,124,2400,-0.0940888456114034
Nara K.,1468.0988231556282,1493.5673339787495,1481.1171962759272,1468.0988231556282,1493.5673339787495,1481.1171962759272,1465.388875484921,139,31,22,155,1880,0.14526114735451973
Monnet C.,1475.089325779333,1453.5620676196963,1465.3053087526982,1475.089325779333,1453.5620676196963,1465.3053087526982,1465.3053087526982,2,7,0,205,17,
Min G.,1479.9188068265564,1475.3070505845662,1472.2938950970147,1479.9188068265564,1475.3070505845662,1472.2938950970147,1465.015785276181,17,24,2,344,1050,-0.03944053429898642
Blinkova A.,1496.1083733180958,1414.404236101242,1482.077160541408,1496.1083733180958,1407.1998959135146,1482.077160541408,1464.404236101242,158,55,35,105,12,-0.29187574917891657
Dodin O.,1469.523883176095,1473.2649850612381,1461.9955371456529,1469.523883176095,1473.2649850612381,1461.9955371456529,1464.2158572583858,71,40,9,362,11,-0.0605545141177275
Klugman H.,1464.21027413866,1464.21027413866,1459.3919244642593,1464.21027413866,1464.21027413866,1459.3919244642593,1464.21027413866,0,0,6,416,34,
Han N.L.,1457.8752680170155,1464.1520163685072,1464.1520163685072,1457.8752680170155,1464.1520163685072,1464.1520163685072,1464.1520163685072,15,0,0,236,1028,-0.05204300033689302
Kudermetova P.,1491.176261115127,1450.243090736115,1453.3156166691274,1491.176261115127,1450.243090736115,1453.3156166691274,1464.1490096226853,39,10,7,108,2,-0.016357356314986082
Sebov K.,1467.123841624465,1470.0350619009969,1464.0494466951432,1467.123841624465,1470.0350619009969,1464.0494466951432,1464.0494466951432,8,3,0,231,5,-0.0163440891926096
Ristic M.,1463.8182130652078,1464.6214369404165,1463.8182130652078,1463.8182130652078,1464.6214369404165,1463.8182130652078,1463.8182130652078,0,2,0,301,748,
Shibahara E.,1461.4764037461164,1471.2658183188876,1466.431014906342,1461.4764037461164,1471.2658183188876,1466.431014906342,1463.8164243871472,14,2,1,193,279,0.00037402132188024684
Chong E.,1463.6520342548974,1463.7948550374458,1463.7948550374458,1463.6520342548974,1463.7948550374458,1463.7948550374458,1463.7948550374458,5,0,0,632,276,
Nugroho P.,1464.0984804937787,1463.615588383291,1463.615588383291,1464.0984804937787,1463.615588383291,1463.615588383291,1463.615588383291,2,0,0,535,643,
Andrianjafitrimo T.,1467.5912810516832,1462.9614555959258,1463.117061824834,1467.5912810516832,1462.9614555959258,1463.117061824834,1463.117061824834,1,5,0,388,1112,
Shvedova Y.,1466.5907374979204,1485.1799534640231,1497.7898372944792,1466.5907374979204,1485.1799534640231,1497.7898372944792,1462.7606898807385,161,90,42,452,1797,-0.21312349727925523
Mediorreal A.V.,1462.755351112755,1463.71159634018,1462.755351112755,1462.755351112755,1463.71159634018,1462.755351112755,1462.755351112755,0,2,0,753,125,
Torres Murcia M.C.,1462.2996295554385,1463.0352422669082,1462.2996295554385,1462.2996295554385,1463.0352422669082,1462.2996295554385,1462.2996295554385,0,2,0,880,124,
Lu J.,1462.6890222312581,1461.5521919736677,1461.5521919736677,1462.6890222312581,1461.5521919736677,1461.5521919736677,1461.5521919736677,4,0,0,259,642,
Knutson G.,1463.5686458229718,1464.6965274958216,1461.2598008214181,1463.5686458229718,1464.6965274958216,1461.2598008214181,1461.2598008214181,2,1,0,223,110,
Stojanovic N.,1482.0349713856924,1467.4391495190464,1474.4021998322296,1482.0349713856924,1467.4391495190464,1474.4021998322296,1460.8677599258601,37,13,7,163,376,-0.15102215415360576
Yamaguchi M.,1459.9425097997448,1460.8083329151157,1460.8083329151157,1459.9425097997448,1460.8083329151157,1460.8083329151157,1460.8083329151157,3,0,0,279,276,
Guo H.,1459.1197767707915,1463.3916689155867,1460.7169721613416,1459.1197767707915,1463.3916689155867,1460.7169721613416,1460.7169721613416,10,1,0,166,69,-0.09221330511362974
Saigo R.,1460.0017625044168,1460.62016700333,1460.62016700333,1460.0017625044168,1460.62016700333,1460.62016700333,1460.62016700333,3,0,0,365,278,
Urhobo A.,1462.6396840743023,1461.7957499098968,1459.8749245531753,1462.6396840743023,1461.7957499098968,1459.8749245531753,1459.8749245531753,1,2,0,185,69,
Larsson J.,1464.5312735119842,1498.8419910356117,1478.3864143802743,1464.5312735119842,1498.8419910356117,1478.3864143802743,1459.7988745374787,163,135,17,215,2386,-0.0701174218973189
Mcnally C.,1460.516363781485,1471.707563754467,1473.134004117715,1460.516363781485,1471.707563754467,1473.134004117715,1459.7820892459645,47,11,12,540,565,-0.17635228722828755
Niculescu M.,1477.1343360962494,1479.6576479632026,1480.7184905535764,1477.1343360962494,1479.6576479632026,1480.7184905535764,1459.6114680812616,268,62,37,191,1861,-0.25712959110112277
Martinez Cirez C.,1459.3971063100803,1457.280038974985,1459.3971063100803,1459.3971063100803,1457.280038974985,1459.3971063100803,1459.3971063100803,0,3,0,352,102,
Rouvroy M.,1459.1622148340612,1459.904378251379,1459.1622148340612,1459.1622148340612,1459.904378251379,1459.1622148340612,1459.1622148340612,0,2,0,321,383,
Lisicki S.,1503.1708111402395,1461.147037277456,1487.9894778263474,1503.1708111402395,1461.147037277456,1487.9894778263474,1458.9465426094798,224,76,61,371,1134,-0.21864693194281315
Hon P.,1452.100720558922,1467.97998136507,1462.7682326890276,1452.100720558922,1467.97998136507,1462.7682326890276,1458.781164971233,54,2,3,158,12,0.252081026431504
Duan Y.Y.,1466.4216634305942,1470.888032570328,1478.7979197665713,1466.4216634305942,1470.888032570328,1478.7979197665713,1458.7249109052368,77,4,9,397,2399,-0.24074854647758379
Stoiana M.,1461.016412695439,1461.5348277384278,1458.6208582316635,1461.016412695439,1461.5348277384278,1458.6208582316635,1458.6208582316635,2,1,0,124,5,
Mrdeza T.,1473.7981989254092,1464.18662037843,1458.5651036043946,1473.7981989254092,1464.18662037843,1458.5651036043946,1458.5651036043946,7,9,0,225,1783,-0.3728900369727496
Radwanska U.,1471.4819326163279,1481.2993293915556,1489.9251780767274,1471.4819326163279,1481.2993293915556,1489.9251780767274,1458.486586402904,153,33,28,210,1742,-0.22683529410116826
Kuzmova V.,1459.9797244726578,1480.4824396097124,1475.233874935028,1459.9797244726578,1480.4824396097124,1475.233874935028,1458.3619111727644,73,26,9,134,1304,-0.05683933521952539
Watson H.,1443.0328306617891,1476.353385869173,1465.1438744560533,1443.0328306617891,1476.353385869173,1465.1438744560533,1457.934802091957,193,50,87,281,159,-0.14887506453322497
Naklo T.,1456.9702973944059,1457.8532659714483,1457.8532659714483,1456.9702973944059,1457.8532659714483,1457.8532659714483,1457.8532659714483,3,0,0,543,277,
Dudeney A.,1457.7861707087286,1457.7861707087286,1456.8301269625908,1457.7861707087286,1457.7861707087286,1456.8301269625908,1457.7861707087286,0,0,3,245,34,
Serban R.,1457.2464770663576,1457.536395599559,1457.2464770663576,1457.2464770663576,1457.536395599559,1457.2464770663576,1457.2464770663576,0,5,0,224,383,
Minnen G.,1441.675670692013,1431.2749621311646,1475.9726620326387,1441.675670692013,1431.2749621311646,1475.9726620326387,1456.9463158081853,86,12,23,202,52,-0.15319288197973852
Jacquemot E.,1457.4300761336663,1445.4715069968324,1463.715632543268,1457.4300761336663,1445.4715069968324,1463.715632543268,1456.8313869406852,25,23,4,104,10,-0.06453989136935961
Strycova B.,1449.125475415625,1497.0647027665893,1500.0673436234608,1449.125475415625,1497.0647027665893,1500.0673436234608,1456.7579288509617,157,62,44,430,1069,-0.2656343966708121
Shi H.,1455.4561146241376,1456.69529742638,1456.69529742638,1455.4561146241376,1456.69529742638,1456.69529742638,1456.69529742638,5,0,0,312,312,
Khromacheva I.,1474.6241443006554,1467.4986762806175,1461.8106759016734,1474.6241443006554,1467.4986762806175,1461.8106759016734,1456.6330835494937,11,12,1,290,1167,-0.40241696490877077
Szabanin N.,1456.3966912287924,1456.7452174486539,1456.3966912287924,1456.3966912287924,1456.7452174486539,1456.3966912287924,1456.3966912287924,0,3,0,572,748,
Savinykh V.,1461.8726546758705,1468.9001415822684,1461.351434464709,1461.8726546758705,1468.9001415822684,1461.351434464709,1456.2215068044004,26,4,1,146,1017,-0.027630817065263213
Hesse A.,1471.587208245522,1464.6160886781197,1460.5143343220814,1471.587208245522,1464.6160886781197,1460.5143343220814,1455.9945877215048,6,14,1,821,1169,-0.18765909779143478
Jakupovic D.,1467.5580411387343,1475.9100239313032,1475.613327833341,1467.5580411387343,1475.9100239313032,1475.613327833341,1455.7805938028516,28,17,7,267,1102,-0.012920558925045955
Stojsavljevic M.,1458.6247523541476,1455.6389488678615,1457.558919228055,1458.6247523541476,1455.6389488678615,1457.558919228055,1455.6389488678615,1,0,3,276,34,
