player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Mendez S.,1463.456572906969,1481.725889469215,1481.725889469215,1463.45177893843,,,,211.0,1642.0,
Mertens E.,1688.8875040974772,1663.4759007310781,1677.207016129711,1725.490843995813,,,,24.0,1.0,0.13300593625531298
Micic E.,1508.4856008613951,1503.7291013880927,1503.7291013880927,1507.4582027761855,,,,302.0,46.0,
Min G.,1485.4756841333083,1493.04412324122,1493.04412324122,1486.0882464824401,,,,344.0,1078.0,-0.03944053429898642
Minella M.,1467.842872593708,1483.9214362968542,1483.9214362968542,1467.842872593708,,,,201.0,1770.0,-0.1502372823138588
Minnen G.,1441.6422592653134,1437.4578068841624,1464.6025856601418,1449.5209092315604,,,,202.0,80.0,-0.15319288197973852
Mitu A.,1482.7663316001592,1491.3769436975645,1491.3769436975645,1482.7538873951291,,,,216.0,936.0,-0.13973555495529394
Miyazaki Y.,1476.7426759267787,1481.5344549632737,1463.1691067149313,1463.0689099265471,,,,166.0,717.0,-0.03675614692786555
Mladenovic K.,1398.9166720149951,1399.4200077171452,1426.893123232077,1369.1452621240735,,,,218.0,719.0,-0.2294837340855735
Monnet C.,1480.8324744179172,1441.7473735051506,1476.270114752363,1452.540229504726,,,,205.0,45.0,
Monroy Y.,1484.37054046995,1469.4949803359777,1484.37054046995,1468.7410809398996,,,,765.0,879.0,
Montgomery R.,1494.3241562405556,1503.0581885327715,1553.7199068683967,1535.750145179765,,,,195.0,61.0,0.08091624967691624
Morderger Y.,1491.4158325122353,1482.3838536354558,1491.4158325122353,1482.8316650244708,,,,379.0,1567.0,
Morvayova V.,1491.2653014970856,1496.1810555533907,1496.1810555533907,1492.3621111067814,,,,300.0,48.0,
Mrdeza T.,1484.0,1492.0,1492.0,1484.0,,,,225.0,1811.0,-0.3728900369727496
Muchova K.,1886.7301040970153,1788.5354102153287,1758.4054070025313,1909.818219652589,,,,9.0,50.0,0.16217575779356053
Muguruza G.,1501.2802898729906,1476.0367320191804,1475.4971308844379,1480.55531938147,,,,82.0,1308.0,-0.1904066071670853
Muhammad A.,1461.142727388608,1470.1258576003584,1478.75539670538,1457.5107934107602,,,,349.0,1077.0,-0.03841381827204282
Naef C.,1477.013353092149,1482.669901703488,1491.2695610222772,1481.1709313864108,,,,161.0,808.0,
