player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches
Kym J.,1536.046141780272,1536.046141780272,1536.046141780272,1536.046141780272,4,3,0
Cerundolo J.M.,1500.4375519182731,1507.1442551223026,1532.7942776173277,1532.7942776173277,17,46,5
Pellegrino A.,1531.111464020441,1519.5315235967123,1531.111464020441,1531.111464020441,0,11,0
Giron M.,1518.8190612231112,1419.3343202208764,1540.9717144418262,1530.1942360781304,162,45,38
Halys Q.,1509.2540800157453,1534.0310397703788,1480.8827937285737,1529.9675400772403,80,24,22
Atmane T.,1542.8551861654996,1466.2684697578622,1528.2960650211953,1528.2960650211953,34,17,5
Seyboth Wild T.,1489.8038895459633,1519.7072644662587,1528.20353631276,1528.20353631276,24,42,4
Svajda Z.,1445.3422757965177,1527.9367627808776,1527.9367627808776,1527.9367627808776,32,7,5
Droguet T.,1527.7457369823555,1527.7457369823555,1527.7457369823555,1527.7457369823555,7,8,1
Griekspoor T.,1637.5836580101395,1512.1069395013385,1556.0008856943211,1527.4280131883334,123,56,34
Agamenone F.,1527.1707020079668,1527.1707020079668,1527.1707020079668,1527.1707020079668,0,5,0
Olivieri G.,1527.0625732838196,1527.0625732838196,1527.0625732838196,1527.0625732838196,0,3,0
Hsu Y.,1526.6255898223142,1526.6255898223142,1526.6255898223142,1526.6255898223142,6,0,0
Evans D.,1497.9008743198654,1400.6260329785828,1483.4437548775802,1526.432942824625,95,28,16
Baez S.,1486.2346729359963,1533.429252113602,1428.7857572508804,1524.9740329643,75,138,11
Stricker D.,1540.9633508002826,1460.990315294516,1524.5213491582551,1524.5213491582551,21,10,5
Watanuki Y.,1504.8155934116944,1523.358978450916,1523.358978450916,1523.358978450916,24,5,4
Popyrin A.,1489.3065151683477,1574.5691578772598,1406.7605597061506,1523.1013150788765,112,52,19
Bellucci M.,1474.099984974637,1472.5450620088882,1510.0282889620412,1521.2299154472798,36,14,13
Hijikata R.,1521.725492421285,1390.2425490532657,1465.5722602593885,1521.22912191165,72,13,23
Llamas Ruiz P.,1519.4447660605454,1523.6494998387182,1519.4447660605454,1519.4447660605454,3,13,1
Shevchenko A.,1548.291081503016,1458.7118287111507,1518.7147676833895,1518.7147676833895,72,47,6
Kecmanovic M.,1516.7109082652073,1483.6118060228312,1484.8402971656726,1518.5931108359518,155,65,28
Van Rijthoven T.,1517.8961869203576,1517.8961869203576,1574.0386266804796,1517.8961869203576,8,0,10
Isner J.,1514.119896988416,1504.6709470563956,1544.78178157264,1516.8305968355696,54,13,11
Moutet C.,1574.9476386089375,1484.4860393252595,1500.9395717132763,1516.4394684824993,81,47,23
Kovalik J.,1515.8782708438187,1522.6638640190977,1515.8782708438187,1515.8782708438187,4,16,0
Ficovich J.P.,1515.8123169013995,1515.8123169013995,1515.8123169013995,1515.8123169013995,5,3,0
Bellier A.,1514.44814354671,1514.44814354671,1514.44814354671,1514.44814354671,3,0,4
Zheng M.,1514.0468463645138,1514.0468463645138,1514.0468463645138,1514.0468463645138,3,1,3
Damm M.,1507.5743359119529,1513.8929089283977,1513.8929089283977,1513.8929089283977,11,3,5
Basavareddy N.,1533.5050765146973,1513.0934188450924,1513.0934188450924,1513.0934188450924,18,6,3
Karatsev A.,1498.8566836708037,1475.101748235657,1512.8909944734878,1512.8909944734878,76,30,8
