player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Faria J.,ATP,resolved,Right-handed,two-handed,Jaime Faria,Right-handed (two-handed backhand)<ref>{{cite web|url= https://www.tietennis.com/Dashboard.aspx?id=12059|website=tietennis.com|access-date=10 September 2023|title=Jaime Faria}}</ref>,188.0,resolved,2003,resolved
Faurel T.,ATP,resolved,Right-handed,two-handed,Thomas Faurel,Right-handed (two-handed backhand),178.0,resolved,2006,resolved
Fearnley J.,ATP,resolved,Right-handed,two-handed,Jacob Fearnley,Right-handed (two-handed backhand),183.0,resolved,2001,resolved
Feldbausch K.,ATP,resolved,Right-handed,two-handed,Kilian Feldbausch,Right-handed (two-handed backhand),191.0,resolved,2005,resolved
Ferreira Silva F.,ATP,resolved,Left-handed,two-handed,Frederico Ferreira Silva,Left-handed (two-handed backhand),178.0,resolved,1995,resolved
Fery A.,ATP,resolved,Right-handed,two-handed,Arthur Fery,Right-handed (two-handed backhand),175.0,resolved,2002,resolved
Ficovich J.P.,ATP,resolved,Right-handed,two-handed,Juan Pablo Ficovich,Right-handed (two-handed backhand),191.0,resolved,1997,resolved
Fils A.,ATP,resolved,Right-handed,two-handed,Arthur Fils,Right-handed (two-handed backhand),185.0,resolved,2004,resolved
Fognini F.,ATP,resolved,Right-handed,two-handed,Fabio Fognini,Right-handed (two-handed backhand),178.0,resolved,1987,resolved
Fonseca J.,ATP,resolved,Right-handed,two-handed,João Fonseca (tennis),Right-handed (two-handed backhand),188.0,resolved,2006,resolved
Forbes M.,ATP,resolved,Right-handed,two-handed,Matthew Forbes,Right-handed (two-handed backhand),190.5,resolved,2006,resolved
Fratangelo B.,ATP,resolved,Right-handed,two-handed,Bjorn Fratangelo,Right-handed (two-handed backhand),183.0,resolved,1993,resolved
Friberg K.,ATP,resolved,Right-handed,two-handed,Karl Friberg,Right-handed (two-handed backhand),191.0,resolved,1999,resolved
Fritz T.,ATP,resolved,Right-handed,two-handed,Taylor Fritz,Right-handed (two handed-backhand),195.6,resolved,1997,resolved
Fucsovics M.,ATP,resolved,Right-handed,two-handed,Márton Fucsovics,Right-handed (two-handed backhand),188.0,resolved,1992,resolved
Furness E.,ATP,resolved,Right-handed,two-handed,Evan Furness,Right-handed (two-handed backhand),173.0,resolved,1998,resolved
Gaio F.,ATP,resolved,Right-handed,one-handed,Federico Gaio,Right-handed (one-handed backhand),180.0,resolved,1992,resolved
Gakhov I.,ATP,resolved,Left-handed,two-handed,Ivan Gakhov,Left-handed (two-handed backhand),191.0,resolved,1996,resolved
Galan D.E.,ATP,resolved,Right-handed,two-handed,Daniel Elahi Galán,Right-handed (two-handed backhand),191.0,resolved,1996,resolved
Galarneau A.,ATP,resolved,Right-handed,two-handed,Alexis Galarneau,Right-handed (two-handed backhand),180.0,resolved,1999,resolved
Garin C.,ATP,resolved,Right-handed,two-handed,Cristian Garín,Right-handed (two-handed backhand),185.0,resolved,1996,resolved
Gasquet R.,ATP,resolved,Right-handed,one-handed,Richard Gasquet,Right-handed (one-handed backhand),183.0,resolved,1986,resolved
Gaston H.,ATP,resolved,Left-handed,two-handed,Hugo Gaston,Left-handed (two-handed backhand),173.0,resolved,2000,resolved
Gaubas V.,ATP,resolved,Right-handed,two-handed,Vilius Gaubas,Right-handed (two-handed backhand),178.0,resolved,2004,resolved
Gea A.,ATP,resolved,Right-handed,two-handed,Arthur Géa,Right-handed (two-handed backhand),180.0,resolved,2005,resolved
Geerts M.,ATP,resolved,Right-handed,two-handed,Michael Geerts,Right-handed (two-handed backhand),178.0,resolved,1995,resolved
Gentzsch T.,ATP,resolved,Right-handed,two-handed,Tom Gentzsch,Right-handed (two-handed backhand),191.0,resolved,2003,resolved
Gerasimov E.,ATP,resolved,Right-handed,two-handed,Egor Gerasimov,Right-handed (two-handed backhand),196.0,resolved,1992,resolved
Ghibaudo A.,ATP,resolved,Right-handed,two-handed,Antoine Ghibaudo,Right-handed (two-handed backhand),191.0,resolved,2005,resolved
Giannessi A.,ATP,resolved,Left-handed,two-handed,Alessandro Giannessi,Left-handed (two-handed backhand),185.0,resolved,1990,resolved
Gigante M.,ATP,resolved,Left-handed,two-handed,Matteo Gigante,Left-handed (two-handed backhand),180.0,resolved,2002,resolved
Gill F.,ATP,resolved,Left-handed,two-handed,Felix Gill,Left-handed (two-handed backhand),175.0,resolved,2002,resolved
Gimeno Valero C.,ATP,resolved,Right-handed,two-handed,Carlos Gimeno Valero,Right-handed (two-handed backhand),193.0,resolved,2001,resolved
Giron M.,ATP,resolved,Right-handed,two-handed,Marcos Giron,Right-handed (two-handed backhand),180.3,resolved,1993,resolved
Giustino L.,ATP,hand_only_no_backhand,Right-handed,,Lorenzo Giustino,Right-handed (two–handed backhand),180.0,resolved,1991,resolved
Goffin D.,ATP,resolved,Right-handed,two-handed,David Goffin,Right-handed <br />(two-handed backhand),180.0,resolved,1990,resolved
Gojo B.,ATP,resolved,Right-handed,two-handed,Borna Gojo,Right-handed (two-handed backhand),196.0,resolved,1998,resolved
Gojowczyk P.,ATP,resolved,Right-handed,two-handed,Peter Gojowczyk,Right-handed (two-handed backhand),188.0,resolved,1989,resolved
Gombos N.,ATP,resolved,Right-handed,two-handed,Norbert Gombos,Right-handed (two-handed backhand),193.0,resolved,1990,resolved
Gomez E.,ATP,unresolved_name,,,,,,,,
Gomez F.,ATP,resolved,Right-handed,two-handed,Federico Agustín Gómez,Right-handed (two-handed backhand),191.0,resolved,1996,resolved
Gomez F.A.,ATP,resolved,Right-handed,two-handed,Federico Agustín Gómez,Right-handed (two-handed backhand),191.0,resolved,1996,resolved
Gorzny S.,ATP,resolved,Right-handed,one-handed,Sebastian Gorzny,Right-handed (one-handed backhand),193.0,resolved,2004,resolved
Gray A.,ATP,resolved,Right-handed,one-handed,Alastair Gray,Right-handed (one-handed backhand),,unparsed_height,1998,resolved
Grenier H.,ATP,no_infobox,,,Henri Grenier,,,missing_height_field,,missing_birth_date_field
Griekspoor T.,ATP,resolved,Right-handed,two-handed,Tallon Griekspoor,Right-handed (two-handed backhand),188.0,resolved,1996,resolved
Guerrieri A.,ATP,resolved,Left-handed,two-handed,Andrea Guerrieri,Left-handed (two-handed backhand),180.0,resolved,1998,resolved
Guillen Meza A.,ATP,resolved,Right-handed,two-handed,Álvaro Guillén Meza,Right-handed (two-handed backhand),175.0,resolved,2003,resolved
Guinard M.,ATP,resolved,Right-handed,two-handed,Manuel Guinard,Right-handed (two-handed backhand),198.0,resolved,1995,resolved
Gunneswaran P.,ATP,hand_only_no_backhand,Left-handed,,Prajnesh Gunneswaran,Left-handed (two–handed backhand),188.0,resolved,1989,resolved
Haase R.,ATP,resolved,Right-handed,two-handed,Robin Haase,Right-handed (two-handed backhand),191.0,resolved,1987,resolved
Habib H.,ATP,resolved,Right-handed,two-handed,Hady Habib,Right-handed (two-handed backhand),188.0,resolved,1998,resolved
